,geometry,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
38,POINT (-75.14534801951814 39.97323548168718),39,Narcissa S Cruz Recreation Center,908,PPR_REC,B,Y,N,30,Two Programmable Buildings on site.,Programs 9/2021
39,POINT (-75.22811203202269 39.97551666997239),40,Conestoga Community Playground,1982,PPR_REC,C,Y,N,29, ,Programs 9/2021
40,POINT (-75.13233696430426 39.97756361168946),41,Dan Shissler Recreation Center,1844,PPR_REC,A,Y,Y,124, ,Programs 9/2021
41,POINT (-75.24070890770103 39.98186735179854),42,Ernest L Tustin Recreation Center,1965,PPR_REC,B,Y,N,137, ,Programs 9/2021
42,POINT (-75.16995131445954 39.98081653173711),43,Dr Martin Luther King Jr Recreation Center,1985,PPR_REC,A,Y,Y,82, ,Programs 9/2021
43,POINT (-75.22658553314845 39.98326166786404),44,Parkside Evans Recreation Center,1930,PPR_REC,B,Y,N,106,Located within West Fairmount Park.,Programs 9/2021
44,POINT (-75.16029959044694 39.9817165943757),45,Fletcher B Amos Playground,1809,PPR_REC,B,Y,N,5, ,Programs 9/2021
45,POINT (-75.11843129570354 39.9810103730566),46,Frederick Cione Playground,1830,PPR_REC,B,Y,N,24, ,Programs 9/2021
46,POINT (-75.10709091613562 39.98213307228723),47,Thomas P Stokley Recreation Center,1959,PPR_REC,C,N,N,132,Only PPR building is staff/storage building.,Programs 9/2021
47,POINT (-75.14745044806314 39.98323717080117),48,8th and Diamond Playground,1805,PPR_REC,B,Y,N,3, ,Programs 9/2021
48,POINT (-75.10022755137206 39.98298026704795),49,Reverend M Monkiewicz Recreation Center,1913,PPR_REC,C,Y,N,93,Site is split by I-95 ,Programs 9/2021
49,POINT (-75.11255696107393 39.98412861675404),50,Cohocksink Recreation Center,1838,PPR_REC,A,Y,Y,27, ,Programs 9/2021
50,POINT (-75.17484852956225 39.98759003411273),51,Eric W (Hank) Gathers Jr Recreation Center,1852,PPR_REC,A,Y,Y,47, ,Programs 9/2021
51,POINT (-75.09700030488148 39.99068624414453),52,Bernard Samuel Playground,1948,PPR_REC,A,Y,Y,118, ,Programs 9/2021
52,POINT (-75.149786675173 39.99681664147965),53,12th and Cambria Playground,1800,PPR_REC,B,Y,N,1, ,Programs 9/2021
53,POINT (-75.09865666239969 39.99770505545465),54,Robert T Heitzman Recreation Center,1870,PPR_REC,A,Y,Y,57, ,Programs 9/2021
54,POINT (-75.13762017317733 40.00044753299082),55,Ramonita Negron Rivera Recreation and Community Center,1941,PPR_REC,A,Y,Y,113,Closed for Rebuild,Programs 9/2021
55,POINT (-75.12154861185749 40.00016946229817),56,Sergeant John J McVeigh Recreation Center,1908,PPR_REC,A,Y,Y,89, ,Programs 9/2021
56,POINT (-75.068187407772 39.99952345875868),57,Bridesburg Recreation Center,1822,PPR_REC,A,Y,Y,14, ,Programs 9/2021
57,POINT (-75.16578240863797 40.00214182849162),58,Vincent G Panati Playground,1928,PPR_REC,B,Y,N,104, ,Programs 9/2021
58,POINT (-75.12923420302256 40.00184670105853),59,John (Steve) Schmidt Playground,1978,PPR_REC,B,Y,N,121, ,Programs 9/2021
59,POINT (-75.10836045972255 40.00145765686504),60,Joseph A Scanlon Playground,1950,PPR_REC,A,Y,N,120, ,Programs 9/2021
60,POINT (-75.16140022921243 40.00624180130541),61,Jerome Brown Playground,1880,PPR_REC,B,Y,N,68, ,Programs 9/2021
61,POINT (-75.20358875335248 40.01335602869315),62,Gustine Recreation Center,1984,PPR_REC,A,Y,Y,52, ,Programs 9/2021
62,POINT (-75.07311197603097 40.01112118385905),63,Carmella A DiTizio Playground,1823,PPR_REC,B,Y,N,16, ,Programs 9/2021
63,POINT (-75.09687266839433 40.0127977615652),64,Boniface Piccoli Playground,1935,PPR_REC,B,Y,N,110, ,Programs 9/2021
64,POINT (-75.14365305757869 40.01766214294027),65,Hunting Park,845,PPR_REC,A,Y,Y,64, ,Programs 9/2021
65,POINT (-75.05427955350376 40.01842479734525),66,American Legion Playground,1808,PPR_REC,B,Y,N,4, ,Programs 9/2021
66,POINT (-75.12093217780851 40.02161956762881),67,Feltonville Recreation Center,1853,PPR_REC,A,Y,Y,39, ,Programs 9/2021
67,POINT (-75.09312462424884 40.02152855759264),68,Private Alfred J Simpson Memorial Recreation Center,1954,PPR_REC,A,Y,Y,128, ,Programs 9/2021
